작성자,작성일,내용
h_soniii_,2026년 02월 01일,"X PRO DOUBLE AGE🥇
@seokcess_fou 
@finish_official_ 
@finish_starbrid_ 

하이록스 오사카 두번째 경기!!
프로더블!!
파트너의 오전 오픈싱글로
결과가 잘나올지 걱정은되엇지만
충분히 잘하는 석균 코치님이라
믿고 섭1만 바라보고 스타트⭐️

우리의전략은 침착!!
스키를 들어갈때는 거의 15등 그 언저리이엇다!
앞에 많은 팀들이빠르게 치고갓고
그 분위기에 나도 빨라질뻔햇지만
서로를 눌러 주면 차근차근 달려나가니
스테이션마다 한팀 두팀 우리뒤로 밀리는
팀들이 생겻고, 응원해주는 피니쉬 보호자인 대표님 엘린
그리구 경현이형, 루씨, 희주, 성희, 마리아님까지
엄청난 응원을받아 끝까지 느려지지않고
페이서를 유지하며 전체 7등
에이지1등을 유지하며 마무리하엿다!!✨

무엇보다 하루 두경기 뛰며 힘들텐데
버텨준 석균이형 그리고
첫날 함께 뛰어준 제이든형
두분에게 너무너무감사드리구
내 피니쉬 보호자 엘린& 대표님 응원하러 오사카까지와서
맛난것도 사주고 비행직전까지 응원해줘서 감사합니당🫶

함께 시상하게되어영광입니다 @tri_bong_ @seokhee_tri 

저의 펀하이록스는 앞으로도 계속됩니다 쭈욱😆

시상대 함께 올라간 피니쉬 스타브리드⭐️
그리고 랙스트림🔋
오늘 멋진 경기를 하게도와준
어메이즈핏 ⌚️
안다르✨
함께해준 모든 브랜드들 감사합니다🥰"
straydog_running,2026년 02월 01일,"어메이즈핏 윈터트레일러닝 클래스 3회차

#어메이즈핏 #윈터트레일러닝클래스 #teamamazfit #조계훈선수"
jjlim91,2026년 02월 01일,"260124
아워심볼과 함께 렉스트림 행사 다녀왔습니다
마지막 스테이지인 박스점프에서 한분한분 쓸만한 사진을 건져드리기 위해 나름의 노력을 했는데요
간만에 다량의 사진을 찍고 보정하니 예전에 큰 대회들에선 어떻게 했었지 하는 생각이 들었네요
그래도 조금, 많이 아는분들을 이곳저곳에서 만나 내적 반가움 가지고 촬영에 임할 수 있었습니다
엄청난 에너지 터져나온 대회 다음번에 2회가 있다면, 그 때도 기회가 온다면 또 만나요 🙏🏻
와중에 저도 멋진사진 남겨주셔서 너무 감사합니다 !

📸 @linoiscalligraphy @rextreme.official @oursymbol 🙏🏻"
nam_east_dong,2026년 02월 01일,"요즘 인생의 낙이 운동으로 채워지는 중
숨이 터질듯 힘들고 눈이 따갑도록 땀이 나도 해냈다 하는 성취감이 더 좋더라구요
1/24 렉스트림대회도 나가고 (팀 오레오 너무 감사하구 고생하셨습니다) 다가오는 5월 하이록스도 열심히 준비해보겠습니다 
#하이록스 #렉스트림"
8arkki,2026년 02월 01일,"감사함이 가득했던 1월🩶 
#january #february"
jwooo_oooo,2026년 01월 31일,"운동 많이 된다
특히 러닝.."
kjs__jun,2026년 01월 31일,4초 moment💦
bateriascastilloficial,2026년 01월 30일,"🚛 𝗠𝗮́𝘀 𝗮𝗺𝗽𝗲𝗿𝗮𝗷𝗲. 𝗠𝗮́𝘀 𝗳𝘂𝗲𝗿𝘇𝗮. 𝗠𝗮́𝘀 𝗸𝗶𝗹𝗼́𝗺𝗲𝘁𝗿𝗼𝘀 𝘀𝗶𝗻 𝗽𝗮𝗿𝗮𝗿.⚡ 

La ROCKET 68032 – Línea Premium está diseñada para los trabajos más exigentes y arranques extremos.
✅ Potencia superior de arranque
✅ Alto rendimiento para transporte pesado
✅ Construcción robusta para ruta larga y carga pesada

📦 DELIVERY + INSTALACIÓN GRATIS
📲 938 197 700 – 958 618 331
📍 Av. Perú #835 y #986 | Jardines del Golf Mz. 4 Lt. 19 - Trujillo
🌐 linktr.ee/bateriascastillo

#RocketBattery #bateriascastillo #TransportePesado #PotenciaIndustrial #arranqueextremo #CamionesPerú #FlotaPesada #energíaquemueve #TrujilloAutomotriz"
primadaya.cm,2026년 01월 30일,"Rocket Battery adalah brand asal Korea Selatan dengan lebih dari 70 tahun pengalaman dalam menghadirkan baterai industri berkualitas tinggi.

Digunakan di berbagai sektor industri, baterai Rocket dirancang untuk performa stabil, daya tahan tinggi, dan efisiensi maksimal.

Sebagai Authorized Distributor Rocket Battery di Indonesia, Primadaya menjamin produk asli, dukungan teknis, dan garansi terpercaya. #PrimadayaPastiOri

##PrimadayaCitraMandiri
#AuthorizedDistributor
#rocketbattery 
#IndustrialBattery
#UPS #VRLA #golfcartbattery 
#EnergySolutions
#PowerSolutions
#BatterySolutions
#IndustrialSolutions
#ReliablePower"
hannasweatsalot,2026년 01월 30일,🥉
linoiscalligraphy,2026년 01월 30일,"로케트배터리의 첫 익스트림 레이스
“렉스트림”의 메인포토로 촬영하고 왔습니다.
매번 실외에서 뛰어다니며 촬영하다가 
실내에서 촬영해서 쉬울거라고 생각한건
저의 잘못된 생각이었습니다 
선수들의 엄청난 열기와 에너지에 압도당해 
저도 실외보다 더 많이 뛰어다니면서 촬영하고 왔습니다.
자신의 한계를 시험하는 선수들을 보며 
이번에도 많은 에너지를 얻고 온 촬영이었습니다.

이번 촬영은 선수뿐만 아니라 이 모든 대회를 10시간 넘게 
라이브로 촬영하기 위해 무거운 카메라와 짐벌을 내려놓지 못하고
하루종일 뛰어다닌 우리 촬영팀에게 더 박수를 쳐주고 싶습니다

멋진 선수들의 옆엔 언제나 그 멋진 모습을 담기위해
더 많은 땀을 흘리며 뛰어다니고 있는 
촬영팀도 있다는 것을 잊지 말아주세요"
wefoot_technology,2026년 01월 30일,"와... 홍범석님 피지컬 실제로 보신 분? 💪
지난주 렉스트림(@rextreme.official)위풋 부스에서 압도적 포스의 홍범석님을 실물 영접했습니다...🔥

극한의 레이스 전에 저희 부스를 찾아주셨는데,
그 에너지가 진짜 남다르시더라고요.

이런 괴물 같은 퍼포먼스를 보여주는 분께는
아무거나 선물할 수 없죠.

저희 위풋이
설명과 함께 [에어그립(Air Grip) 1.16]을 전달해드렸습니다!

👟 홍범석 님께 '에어그립'을 드린 이유?
극한의 상황에서도 발이 밀리면 안 되니까!

최고의 선수에게 걸맞은 기술력을 담아
응원의 마음으로 전해드렸습니다 🙌

홍범석님 실물 포스만큼 강력한 논슬립,
'에어그립'이 궁금하다면 프로필 링크에서 확인하세요!"
wefoot_technology,2026년 01월 30일,"지난주 렉스트림(@rextreme.official)현장이 갑자기 할리우드(?)가 된 이유 😎
피지컬도 텐션도 남다른
영화 배우 저스틴 하비( @justin.irrelevance )님과
루크 해리스( LukeHarris27 ), 매튜 벡스터( @matt.baxfit ) 님까지 위풋 부스에 떴습니다!

글로벌 피지컬 형님들이 부스에 꽉 차니까 든든하더라고요 💪

이렇게 에너지 넘치는 분들이 운동할 때 가장 신경 쓰는 건?
바로 격한 움직임에도 발을 딱! 잡아주는 지지력'이죠.

그래서 빈손으로 보내드릴 수 없죠!
위풋의 기술력이 집약된 [에어그립(Air Grip) 1.16]을 선물로 드렸습니다 🎁

👟 왜 '에어그립'을 드렸을까?
✅ 특허받은 논슬립: 발바닥부터 신발 안쪽까지 양면으로 꽉 잡아주니까
✅ 숨 쉬는 그립: 땀이 나도 접지력이 유지되는 쾌적함
✅ 충격 흡수: 거친 러닝과 트레이닝에도 발 피로를 줄여주는 쿠션감

현장에서 제품 설명 들으실 때도
초롱초롱하게 들어주셔서 더 즐거웠던 시간이었어요 ✨

저스틴 하비님과 친구들이 받아간 그 양말,
'에어그립'의 디테일이 궁금하다면 프로필 링크 클릭!"
zamst_korea,2026년 01월 30일,"COMING SOON🔥
2026 서울마라톤 참가권 증정 🏃‍♂️🏃‍♀️

2월 2일(월), 단 10명에게만!
서울마라톤 참가권을 얻을 수 있는 기회가 찾아옵니다.
함께 달릴 준비 되셨나요?

⠀
🏁서울마라톤 참가권 증정이벤트는
잠스트, 트라택, 세라밴드, 팰릭 브랜드가 함께합니다.

#ZAMST #잠스트 #SPOFL #스포플 #서울마라톤"
runner.rico,2026년 01월 30일,"기대 이상으로 뜨거웠던 렉스트림 레이스 현장. 📸
​아워심볼의 이름으로 아워심볼 작가분들과 렉스트림 공식 촬영을 진행했습니다.
긴 시간 촬영에도 불구하고, 대회 자체에서 뿜어져 나오는 긍정적인 에너지와 박진감 덕분에 시간 가는 줄 모르고 촬영에 몰입했습니다.
​현장에서 마주친 모든 분의 열정이 제 뷰파인더를 가득 채워준 덕분입니다.
​함께 현장을 누빈 아워심볼 작가님들, 그리고 저를 포함해 찰나의 순간을 기록해주신 모든 작가님들 정말 고생 많으셨습니다. 감사합니다! 

작가님들 저도 많이 찍어주셔서 행복해요 ㅋㅋㅋㅋ

@rextreme.official @oursymbol 
#리코포토 #렉스트림 #아워심볼 #하이록스 #크로스핏"
onejun88_,2026년 01월 30일,"운동은 기록,기억은 렉스트림💦
2026 goal checked ✅
로케트배터리&렉스트림
@rocketbattery_official @rextreme.official 
#렉스트림#주말기록#하이록스#크로스핏#방전🪫"
fitness.mentor,2026년 01월 30일,".
렉스트림 혼성팀 릴레이 우승 후기✌️

개인전, Top10전까지 2경기를 마치고
쉴 시간 없이 바로 진행 된 혼성릴레이🔥

우리팀은 4명 중 3명이 이미 개인전으로
지친 상태에서 경기에 들어갔지만,
2등으로 Top5전에 진출!!

다들 욕심없이 왔지만, 
1등이 눈 앞에 보이니 
경기에 임하는 태도가 달라진듯했다😂

나 또한 4번째 셔틀런과 버피점프로
내측광근에 계속 쥐가 올라왔지만,
팀원들의 응원에 끝까지 참고 완주🔥

결국 우승했다!!!!!
결승선에 들어갈때의 느낌이 아직도 생생하다👍

그날 경기장에서 12시간동안
밥도 제대로 못 먹고 편히 쉬지도 못했지만, 
1등은 그것들을 다 보상해주는 기분이였다🙏🏻

우리팀 모두 고생많으셨고, 함께 해주셔서 감사합니다!
내년에도 가나요?🔥

그리고 좋은 대회 준비해주셔서 감사합니다🙌🏻
@rextreme.official 
.
.
#렉스트림"
kimjunsuda,2026년 01월 30일,#rextreme #렉스트림
recordofwisdom,2026년 01월 30일,"#260124 
26년 첫 대회, #렉스트림 @rextreme.official 

귀엽고 강력한 리쌤과 @cherrimism,
늘 동경하던 미연언니랑 @kimyoni_ 
손 꼭잡구 무사 완주 완료! 💙🩷💛

준비 시간은 부족하고, 잘하고싶은데 못해서 속상하고
셔틀런 뛰면서 중도하차하고 싶었지만 
믓진 사진 덕분에 기억 미화했슴다 @oursymbol 

밖에서 보니 더 멋지고 강력하고 반가운
우리 가디언즈 @teambutfit 
스타브리드 @finish_starbrid_ 크루원분들 고생하셨어요
댜들 너무 멋졌다💚✨💚✨"
peach_fun_photo,2026년 01월 30일,"2026.01.24 제1회 렉스트림 대회에 아워심볼 촬영팀으로 참여하게 되었습니다. 

늘 촬영하던 마라톤 대회와는 다른 움직임이어서 색다르고 재밌었어요!😎

종목 별로 짧은 시간에 횟수를 채워야 하기에 참가 선수들이 초집중하는 모습들을 담을 수 있었는데요, 자신의 한계를 마주하는 모습들이 아주 인상적이었습니다. 

최대한 많은 분들의 순간을 담아서 아워심볼앱에 업로드 했으니 사진 찾아가시면 됩니다 🤗

내년에 또 대회가 열린다면 꼭 다시 참여해보고 싶네요😉

#렉스트림 #아워심볼 #스포츠대회 #대회사진 #렉스트림레이스 
@rextreme.official @oursymbol"
eggmin_,2026년 01월 30일,"스키가 싫어졌다🥲
스키 타는 자세를 꽤 연습 했는데 결국 힘들때는 그냥 막 타는 구나.
#렉스트림#버너스 #신봉동운동 #수지하이록스 #수지크로스핏"
tongs_workout,2026년 01월 30일,"26년 들어서 가장 힘들었던 44분, 그치만 뿌듯🤪🤪 #rextreme #kintex #hangover"
hykim.scott,2026년 01월 30일,"렉스트림 재밌었어요👍
전체 27위로 결승은 못갔지만
Age1위로 전광판에 이름 나와서 너무 좋았어요😀
(flag도 받고싶어요🤫)
다음에도 함께할께요🙋‍♂️
.
@rextreme.official 
@f45_training_gwanghwamun"
berry_s_trong,2026년 01월 30일,"@rextreme.official 
@ryoohyun @heejour @h_soniii_ 

열심히 운동할걸(?) 후회하게 만들었던
너무 고퀄리티의 대회 렉스트림 🔋🔋

기획하시느라 정말 고생 많으셨습니닷 .. 🤍
다음에 또 열어주세요 !!!! 운동욕구 다시 불태웟 ..

@hee_river 랑 투샷까지 get 😻
@jaeha_pool @2_jooyong 
같이 즐겁게 즐겨주셔서 감사합니다아 🤩

#렉스트림 #렉스트림레이스"
hykim.scott,2026년 01월 29일,"렉스트림 대회 잘 보냈습니다.👍
27등으로 결승전은 어림없이 못갔지만, 
Age1위로 전광판에 내이름 나오는 건 멋진 경험이네요😄
내년에도 갈께요!🙋‍♂️
.
다음 하이록스 대회에는 포디움 올라봐야지🔥
@rextreme.official 
@f45_training_gwanghwamun"
dear_moon2,2026년 01월 29일,"나이키 Girl~들과 함께한 첫 렉스트림⚡️🔋

예선에서는 4위로 통과했지만, 결승전에서 2위로 마무리!
끝날 때까지 모르기에 힘들어도 조금 더 움직여보고,
또 더 힘을 낼 수 있도록 응원하는게 운동의 매력이자
계속 좋아할 수 밖에 없는 이유인 것 같다❤️‍🔥

출전하는 선수들만큼이나 열렬히 따라다니며
응원해주고 영상 찍고 서포트 해주신
세 매니저님들에게 정말 x 10000 압도적 감사🥺🙇🏻‍♀️
(다음에 세 분 출전하면 더 열심히 서폿할게요!)

그리고 함께 하자고 제안해주고 MC까지 본
본투비 나이키 성희, 늘 같이 해주는 솔언니
앞으로 재밋는거 같이 많이 하자 걸즈들👯‍♀️

#niketraining #tranining #workout
#supportedbynike @nikeseoul @niketraining"
lunarunna,2026년 01월 29일,"#루나런나러닝툰
저번 주말 개최되었던 렉스트림레이스!
좋은 기회로 져지로 참여하게 된 덕에
멋진 분들을 한 가득 보고 올 수 있었습니다👍🏻

하이록스와는 또 다른 파워와 재미가 있었어요!
도니님이 눈을 반짝이며 다음에 참여해보자고 했는데
저 같은 말랑인간이 감히 껴도 될런지요👀 호달달
(그치만 왠지 재밌을 거 같기도 해…)"
futuremadscientist,2026년 01월 29일,"로잉 탈 때 가장 행복한 나…🚣‍♀️

로잉 1500m 제일 먼저 타고 내려와서 첫번째 레인으로 들어갈 때 얼마나 짜릿하던지 ㅎㅎ 너무너무 즐거운 경험이었다. 첫 대회인데 좋은 결과까지 내다니~~ (무려 11위!) 같이 열심히 달려준 순원언니, 원나 최고🫶

✨도레솔✨이라는 멋진 팀명 지어놓고서 이원나 팀으로 등록된 거 왤케 웃기지. 앞으로도 다치지 않고 오래오래 함께 운동할 수 있길. 

최고의 조합
최고의 팀

다음엔 마라톤 같이 뛸 것..파이팅

@alwayswithday 
@2_one_na 

#렉스트림
@rextreme.official 
@enuf.sports"
wefoot_technology,2026년 01월 29일,"렉스트림에 다녀온 위풋의 브이로그!

렉스트림 현장 속 찾아주신 많은 분들
덕분에 저희 위풋의 부스가 엄청 북적였었는데요.

많은 분들이 위풋의 논슬립 양말을 구경하시고 
운동할  때 꼭 신어봐야겠다며 폭발적인 반응을 보여주셨어요!

이렇게 인기가 몰릴 수 있었던 위풋의 다양한 제품정보는
지금 프로필 링크에서 확인하실 수 있어요!"
fit_0_miiiiin,2026년 01월 29일,"같이하면 도파민 100배💨 팀원들 응원에 더 힘났어요🦧 

@rextreme.official 
@aim_crossfit 
@rocketbattery_official 

#크로스핏 #하이록스 #원주운동 #두바이쫀득쿠키 #두쫀쿠"
